Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
NATURGUT Bio Karotten-Salat (je 330 g Abtropfgewicht 190 g),Lebensmittel,Konserven/Gemüse,0.89,2025-06-16,2025-06-21,Penny
NATURGUT Bio Apfelmix (versch. Sorten je 360 g),Lebensmittel,Obstkonserven/Mus,1.15,2025-06-16,2025-06-21,Penny
NATURGUT Bio Mais-Snack (je 45 g),Lebensmittel,Snacks,0.69,2025-06-16,2025-06-21,Penny
NATURGUT Bio Sorbet (versch. Sorten je 500 ml),Lebensmittel,Eis,2.99,2025-06-16,2025-06-21,Penny
NATURGUT Bio Garnelen Original (je 225 g),Lebensmittel,Fisch/Meeresfrüchte,4.39,2025-06-16,2025-06-21,Penny
NATURGUT Bio Garnelen Black Tiger (je 180 g),Lebensmittel,Fisch/Meeresfrüchte,4.39,2025-06-16,2025-06-21,Penny
GRILLPARTY Frische Schweine-Nackensteaks (mariniert Paprika je kg),Lebensmittel,Fleisch,5.99,2025-06-16,2025-06-21,Penny
GRILLPARTY Geflügelrostbratwurst (fein je 800 g),Lebensmittel,Wurstwaren,4.44,2025-06-16,2025-06-21,Penny
GRILLPARTY Frische Schweine-Grillfackeln (je 360 g Packung),Lebensmittel,Fleisch,3.99,2025-06-16,2025-06-21,Penny
DIE THÜRINGER Rostbratwurst XXL (je 400 g),Lebensmittel,Wurstwaren,3.99,2025-06-16,2025-06-21,Penny
ALPENHAIN Grill Käsegenuss (versch. Sorten je 150 g),Lebensmittel,Milchprodukte/Käse,2.22,2025-06-16,2025-06-21,Penny
MITAKOS Tzatziki (je 500 g),Lebensmittel,Feinkost/Dips,1.49,2025-06-16,2025-06-21,Penny
HOMANN Beilagensalat (versch. Sorten je 400 g),Lebensmittel,Feinkost/Salate,1.79,2025-06-16,2025-06-21,Penny
MEGGLE Kräuterbutter (je 250 g),Lebensmittel,Butter/Margarine,3.33,2025-06-16,2025-06-21,Penny
KÜHNE Rote-Bete-Scheiben (je 670 g Abtropfgewicht 430 g),Lebensmittel,Konserven/Gemüse,1.59,2025-06-16,2025-06-21,Penny
KÜHNE Gewürzgurken (je 670 g Abtropfgewicht 360 g),Lebensmittel,Konserven/Gemüse,1.59,2025-06-16,2025-06-21,Penny
HEINZ Snack-Sauce (versch. Sorten je 400 ml),Lebensmittel,Saucen/Ketchup,1.99,2025-06-16,2025-06-21,Penny
LORENZ Clubs Party Cracker (Sesam je 180 g),Lebensmittel,Snacks/Gebäck,0.99,2025-06-16,2025-06-21,Penny
LORENZ Clubs Party Cracker (Classic je 200 g),Lebensmittel,Snacks/Gebäck,0.99,2025-06-16,2025-06-21,Penny
MAZOLA ÖL (versch. Sorten je 750 ml),Lebensmittel,Öl/Essig,3.49,2025-06-16,2025-06-21,Penny
TABASCO Pfeffersoße (versch. Sorten je 60 ml),Lebensmittel,Saucen/Ketchup,1.99,2025-06-16,2025-06-21,Penny
THOMY Senf Dijon (je 200 ml),Lebensmittel,Saucen/Ketchup,1.69,2025-06-16,2025-06-21,Penny
THOMY Sahne-Meerrettich (je 190 g),Lebensmittel,Feinkost/Dips,1.69,2025-06-16,2025-06-21,Penny
DEVELEY Soße (versch. Sorten je 300 ml),Lebensmittel,Saucen/Ketchup,1.99,2025-06-16,2025-06-21,Penny
KÖNIG PILSENER Pils (je 0.568 l zzgl 0.25 Pfand),Getränke,Alkoholische Getränke/Bier,0.79,2025-06-16,2025-06-21,Penny
OBERBRÄU Hell (je 6 x 0.33 l zzgl 1.50 Pfand),Getränke,Alkoholische Getränke/Bier,2.99,2025-06-16,2025-06-21,Penny
DALLMAYR Home Barista Caffè Crema (versch. Sorten je 1.000 g),Lebensmittel,Kaffee/Tee,12.99,2025-06-16,2025-06-21,Penny
NESCAFÉ Gold (versch. Sorten je 200 g),Lebensmittel,Kaffee/Tee,11.99,2025-06-16,2025-06-21,Penny
JACOBS Kaffee (gemahlen versch. Sorten je 500 g),Lebensmittel,Kaffee/Tee,5.99,2025-06-16,2025-06-21,Penny
ZENTIS Frühstücks-Konfitüre (versch. Sorten je 340 g),Lebensmittel,Brotaufstriche,1.99,2025-06-16,2025-06-21,Penny
OVOMALTINE Crunchy Cream (je 380 g),Lebensmittel,Brotaufstriche,3.49,2025-06-16,2025-06-21,Penny
KRÜGER Eiskaffee (versch. Sorten je 150 g),Lebensmittel,Kaffee/Tee,2.22,2025-06-16,2025-06-21,Penny
BÄCKER-KRÖNUNG 4 kleine Kuchen Zitrone (je 140 g),Lebensmittel,Kuchen/Gebäck,1.89,2025-06-16,2025-06-21,Penny
BÄCKER-KRÖNUNG 4 kleine Kuchen Marmor (je 172 g),Lebensmittel,Kuchen/Gebäck,1.89,2025-06-16,2025-06-21,Penny
DR. OETKER Paradies Creme Vanille (je 60 g),Lebensmittel,Backzutaten/Desserts,0.79,2025-06-16,2025-06-21,Penny
DR. OETKER Paradies Creme Cappuccino (je 55 g),Lebensmittel,Backzutaten/Desserts,0.79,2025-06-16,2025-06-21,Penny
NATURGUT Bio Zitronenpaste (je 50 g),Lebensmittel,Backzutaten,1.69,2025-06-16,2025-06-21,Penny
MIRÁCOLI Pasta Klassiker (Spaghetti 630.4 g oder Maccaroni 560.4 g),Lebensmittel,Pasta/Fertiggerichte,2.99,2025-06-16,2025-06-21,Penny
SAMYANG Buldak Spicy Ramen Cup (Original 70 g oder Carbonara 80 g),Lebensmittel,Fertiggerichte,1.49,2025-06-16,2025-06-21,Penny
ORO D'ITALIA Ganze Tomaten oder ORO DI PARMA Kirschtomaten (je 400 g),Lebensmittel,Konserven,1.29,2025-06-16,2025-06-21,Penny
HAWESTA Heringsfilets XXL (je 600 g),Lebensmittel,Fisch,2.99,2025-06-16,2025-06-21,Penny
GREENLAND Birnenhälften oder Aprikosenhälften (je 820 g),Lebensmittel,Konserven,1.99,2025-06-16,2025-06-21,Penny
THOMY Les Sauces Hollandaise (Versch. Sorten je 300 ml),Lebensmittel,Saucen/Dressing,0.79,2025-06-16,2025-06-21,Penny
KNORR Bouillon pur (Versch. Sorten je 4 l App-Preis),Lebensmittel,Zutaten/Konserven,1.49,2025-06-16,2025-06-21,Penny
WÜRZ & Co. Salat-dressing (Versch. Sorten je 500 ml App-Preis),Lebensmittel,Saucen/Dressing,1.19,2025-06-16,2025-06-21,Penny
FERRERO Kinder bueno (2x8x21.5g) oder Kinder Riegel (2x11x21g) 2er-Pack-Angebot,Lebensmittel,Süßwaren,4.00,2025-06-16,2025-06-21,Penny
NIMM 2 Lachgummi (versch. Sorten 200 g-225 g),Lebensmittel,Süßwaren,0.99,2025-06-16,2025-06-21,Penny
MILKA Party Mix (159 g) oder Favourites (158 g),Lebensmittel,Süßwaren,3.29,2025-06-16,2025-06-21,Penny
TWIX Riegel (Salted Caramel 10x46g oder Classic 10x50g),Lebensmittel,Süßwaren,3.99,2025-06-16,2025-06-21,Penny
OREO Kekse (Versch. Sorten je 154 g),Lebensmittel,Süßwaren,1.29,2025-06-16,2025-06-21,Penny
MERCI Together (Gefüllte Schokostücke in 5 Sorten je 175 g),Lebensmittel,Süßwaren,2.19,2025-06-16,2025-06-21,Penny
COVO Russisch Brot (je 125 g),Lebensmittel,Backwaren,0.99,2025-06-16,2025-06-21,Penny
MIDI Fragola oder Farci Kao (je 280 g),Lebensmittel,Backwaren,1.79,2025-06-16,2025-06-21,Penny
ST. MICHEL Choco (Versch. Sorten je 180 g),Lebensmittel,Backwaren,1.79,2025-06-16,2025-06-21,Penny
NESTLÉ After Eight (Versch. Sorten je 200 g),Lebensmittel,Süßwaren,1.79,2025-06-16,2025-06-21,Penny
GRANINI Selection (0.75 l) oder Trinkgenuss (1 l),Getränke,Alkoholfreie Getränke,1.59,2025-06-16,2025-06-21,Penny
SCHWIP SCHWAP oder PEPSI (Erfrischungsgetränk versch. Sorten 6x0.33 l),Getränke,Alkoholfreie Getränke,3.69,2025-06-16,2025-06-21,Penny
ARIZONA Eistee (Versch. Sorten je 1.75 l),Getränke,Alkoholfreie Getränke,1.39,2025-06-16,2025-06-21,Penny
FANTA oder COCA-COLA (Erfrischungsgetränk versch. Sorten je 2 l App-Preis),Getränke,Alkoholfreie Getränke,1.39,2025-06-16,2025-06-21,Penny
SCHWIP SCHWAP PEPSI oder 7 UP (Erfrischungsgetränk versch. Sorten je 1.25 l App-Preis),Getränke,Alkoholfreie Getränke,0.79,2025-06-16,2025-06-21,Penny
MEDINET Rouge oder Blanc (Vin de France je 0.25 l),Getränke,Alkoholische Getränke,0.99,2025-06-16,2025-06-21,Penny
BLANCHET Blanc de Blancs (Vin de France Trocken je 0.75 l App-Preis),Getränke,Alkoholische Getränke,2.99,2025-06-16,2025-06-21,Penny
APREZZO Spritz (10% vol je 0.25 l App-Preis),Getränke,Alkoholische Getränke,0.99,2025-06-16,2025-06-21,Penny
ANDALÖ Original Sanddorn Liqueur (15% vol je 0.7 l),Getränke,Alkoholische Getränke,9.99,2025-06-16,2025-06-21,Penny
SMIRNOFF No 21 Vodka (37.5% vol je 0.7 l),Getränke,Alkoholische Getränke,8.99,2025-06-16,2025-06-21,Penny
BACARDÍ Flavoured Rum (Versch. Sorten 32% vol je 0.7 l),Getränke,Alkoholische Getränke,10.99,2025-06-16,2025-06-21,Penny
JACK DANIEL'S Mischgetränk (Versch. Sorten 10% vol je 0.33 l),Getränke,Alkoholische Getränke,1.99,2025-06-16,2025-06-21,Penny
FROSCH Sensitiv-Waschmittel (Aloe Vera für 24 WL je 1.44 l),Drogerie,Haushaltswaren,4.49,2025-06-16,2025-06-21,Penny
PAMPERS Feuchttücher (Versch. Sorten je 6x52 Stück),Drogerie,Körperpflege,5.99,2025-06-16,2025-06-21,Penny
SAGROTAN Wäsche-Hygienespüler (Versch. Sorten für 40 WL je 3 l),Drogerie,Haushaltswaren,5.99,2025-06-16,2025-06-21,Penny
SAGROTAN Allzweck- & Bodenreiniger (1.5 l) oder Küchenreiniger (750 ml),Drogerie,Haushaltswaren,2.79,2025-06-16,2025-06-21,Penny
LENOR Waschmittel (Aprilfrisch Pulver 90WL 4.95kg oder All in 1 Color Pods 76WL 1.49kg),Drogerie,Haushaltswaren,17.99,2025-06-16,2025-06-21,Penny
VANISH Oxi Action (Fleckenentferner versch. Sorten je 1.125 g),Drogerie,Haushaltswaren,7.99,2025-06-16,2025-06-21,Penny
L'ORÉAL Dermo Hydra Active (Versch. Sorten je 50 ml),Drogerie,Körperpflege,2.95,2025-06-16,2025-06-21,Penny
DR. BEST Zahnbürste Interdent aktiv (Mittel je 3 Stück),Drogerie,Körperpflege,3.79,2025-06-16,2025-06-21,Penny
ODOL MED 3 Zahncreme (Versch. Sorten je 2x75 ml),Drogerie,Körperpflege,4.99,2025-06-16,2025-06-21,Penny
DOVE Deo (Versch. Sorten je 200 ml),Drogerie,Körperpflege,2.49,2025-06-16,2025-06-21,Penny
DOVE Seife (4 Stück je 4x90 g),Drogerie,Körperpflege,3.99,2025-06-16,2025-06-21,Penny
PRIL Kraftgel (Versch. Sorten je 450 ml),Drogerie,Haushaltswaren,1.85,,,Penny
BLIK Spülmittel (Versch. Sorten je 500 ml),Drogerie,Haushaltswaren,0.85,,,Penny
COMET Apfelschorle (je 1.5 l),Getränke,Alkoholfreie Getränke,1.09,2025-06-16,2025-06-21,Penny
COMET Orange (Versch. Sorten je 1.5 l),Getränke,Alkoholfreie Getränke,0.65,2025-06-16,2025-06-21,Penny
COMET Eistee (Versch. Sorten je 1.5 l),Getränke,Alkoholfreie Getränke,0.79,2025-06-16,2025-06-21,Penny
COMET Zitrone (Versch. Sorten je 1.5 l),Getränke,Alkoholfreie Getränke,0.65,2025-06-16,2025-06-21,Penny
COMET Cola (Versch. Sorten je 1.5 l),Getränke,Alkoholfreie Getränke,0.65,2025-06-16,2025-06-21,Penny
COMET Erfrischungsgetränk Gurke Limette Minze (je 0.33 l),Getränke,Alkoholfreie Getränke,0.49,2025-06-16,2025-06-21,Penny
COMET Cola Cherry oder Vanille (je 0.33 l),Getränke,Alkoholfreie Getränke,0.39,2025-06-16,2025-06-21,Penny
COMET Cola (Dose versch. Sorten je 0.33 l),Getränke,Alkoholfreie Getränke,0.39,2025-06-16,2025-06-21,Penny
Deutsche rote Äpfel (KL. I je 1-kg-Schale),Lebensmittel,Obst/Gemüse,1.49,2025-06-18,2025-06-21,Penny
Rote Paprika (KL. I je 500-g-Packung),Lebensmittel,Obst/Gemüse,1.19,2025-06-18,2025-06-21,Penny
Frischer Schweinenacken (Am Stück ohne Knochen je kg),Lebensmittel,Fleisch/Wurst,5.79,2025-06-18,2025-06-21,Penny
Versch. Gemüsepflanzen (Im 10.5-cm-Topf oder 6er-Schale),Pflanzen/Blumen,Pflanzen,1.59,2025-06-18,2025-06-21,Penny
MÜHLENHOF Frische Cevapcici (Vom Schwein und Rind je 800-g-Packung),Lebensmittel,Fleisch/Wurst,5.99,2025-06-18,2025-06-21,Penny
Rittersporn (Im 19-cm-Topf je Stück),Pflanzen/Blumen,Pflanzen,5.99,2025-06-18,2025-06-21,Penny
WIESBAUER Frühstücks Aufschnitt (je 150 g),Lebensmittel,Fleisch/Wurst,1.79,2025-06-18,2025-06-21,Penny
Strauß Pfingstrosen (je Bund 7 Stiele),Pflanzen/Blumen,Blumen,5.99,2025-06-18,2025-06-21,Penny
TARCZYNSKI Polnische Wurstspezialität (Versch. Sorten je 250 g),Lebensmittel,Fleisch/Wurst,2.99,2025-06-18,2025-06-21,Penny
BÄRENMARKE Eiskaffee (Versch. Sorten je 200 ml),Getränke,Kaffee/Tee,1.11,2025-06-18,2025-06-21,Penny
LANGNESE Cornetto Max (360 ml) oder Cornetto Soft (560 ml),Lebensmittel,Tiefkühlkost,3.29,2025-06-18,2025-06-21,Penny
WEIDEGLÜCK Fruchtjoghurt (Versch. Sorten je 1 kg),Lebensmittel,Milchprodukte/Desserts,2.22,2025-06-18,2025-06-21,Penny
DANONE Actimel (Versch. Sorten je 14x100 g),Lebensmittel,Milchprodukte/Desserts,3.88,2025-06-18,2025-06-21,Penny
CASTELLO Käsescheiben (Cheddar 140 g oder Höhlenkäse 150 g),Lebensmittel,Milchprodukte/Käse,1.79,2025-06-18,2025-06-21,Penny
GRILLPARTY Grill-Weichkäse (Versch. Sorten je 2x100 g),Lebensmittel,Milchprodukte/Käse,1.99,2025-06-18,2025-06-21,Penny
MEICA Curry King (je 220 g),Lebensmittel,Fertiggerichte,1.79,2025-06-18,2025-06-21,Penny
WAGNER Die Backfrische (Speciale oder Mozzarella je 350 g),Lebensmittel,Tiefkühlkost,1.99,2025-06-18,2025-06-21,Penny
TEEKANNE Frio (versch. Sorten je 45 g),Lebensmittel,Getränke/Tee,2.22,2025-06-18,2025-06-21,Penny
DALLMAYR Kaffeepads (Crema d'Oro je 112 g oder Classic je 124 g),Lebensmittel,Kaffee,1.99,2025-06-18,2025-06-21,Penny
SMASHED Croissant Toast (je 380 g),Lebensmittel,Backwaren,2.39,2025-06-18,2025-06-21,Penny
DR. OETKER Vitalis Müsli (Knusper weniger süß je 600 g oder Schoko klassisch je 450 g),Lebensmittel,Müsli/Cerealien,2.49,2025-06-18,2025-06-21,Penny
ÖLZ Rosinen Brötchen (je 250 g),Lebensmittel,Backwaren,1.99,2025-06-18,2025-06-21,Penny
ÖLZ Strudel (versch. Sorten je 350 g),Lebensmittel,Backwaren,1.99,2025-06-18,2025-06-21,Penny
FERRERO Kinder délice (Kuchen-Snack je 4x39 g),Lebensmittel,Süßwaren,2.19,2025-06-18,2025-06-21,Penny
STORCK Knoppers Riegel (versch. Sorten je 5x40 g),Lebensmittel,Süßwaren,1.79,2025-06-18,2025-06-21,Penny
MANNER Knuspino (versch. Sorten je 110 g),Lebensmittel,Süßwaren,0.99,2025-06-18,2025-06-21,Penny
MIKADO Sticks (versch. Sorten je 75 g),Lebensmittel,Süßwaren,1.29,2025-06-18,2025-06-21,Penny
NESTLÉ Choclait Chips (versch. Sorten je 115 g),Lebensmittel,Süßwaren,1.79,2025-06-18,2025-06-21,Penny
ALPIA Schokolade (versch. Sorten je 100 g),Lebensmittel,Süßwaren,0.99,2025-06-18,2025-06-21,Penny
STORCK Werther's Original (Soft Caramel je 180 g oder Sahne-bonbons je 245 g),Lebensmittel,Süßwaren,1.49,2025-06-18,2025-06-21,Penny
LORENZ Nic Nacs Partypack (je 270 g),Lebensmittel,Snacks,2.99,2025-06-18,2025-06-21,Penny
HITSCHIES Wassereis (versch. Sorten je 400 ml),Lebensmittel,Süßwaren/Eis,1.99,2025-06-18,2025-06-21,Penny
FERRERO Giotto (versch. Sorten je 4x38.5 g),Lebensmittel,Süßwaren,3.29,2025-06-18,2025-06-21,Penny
3 GLOCKEN GENUSS PUR Teigwaren (versch. Sorten je 1000 g),Lebensmittel,Pasta,1.99,2025-06-18,2025-06-21,Penny
GOUDA'S GLORIE Snacksauce (versch. Sorten je 550 ml),Lebensmittel,Saucen/Ketchup,2.29,2025-06-18,2025-06-21,Penny
SACLA Creamy Pesto (versch. Sorten je 290 g),Lebensmittel,Saucen/Pesto,1.99,2025-06-18,2025-06-21,Penny
MAGGI Würze (je 1000 g),Lebensmittel,Würzmittel,4.44,2025-06-18,2025-06-21,Penny
PFANNER Ice Tea (versch. Sorten je 2 l),Getränke,Eistee,1.39,2025-06-18,2025-06-21,Penny
CAPRI-SUN Fruchtsaftgetränk (versch. Sorten je 0.33 l),Getränke,Saft/Fruchtsaftgetränke,0.99,2025-06-18,2025-06-21,Penny
POWERADE (versch. Sorten zzgl. 0.25 Pfand je 0.5 l),Getränke,Sportgetränke,0.99,2025-06-18,2025-06-21,Penny
BECK'S (versch. Sorten zzgl. 0.25 Pfand je 0.5 l),Getränke,Bier,0.79,2025-06-18,2025-06-21,Penny
FÜRST VON METTERNICH Sekt (versch. Sorten je 0.2 l),Getränke,Sekt/Prosecco,1.99,2025-06-18,2025-06-21,Penny
WILTHENER Gebirgskräuter (Kräuterlikör 30% vol je 0.7 l),Getränke,Spirituosen,5.99,2025-06-18,2025-06-21,Penny
JACK DANIEL'S Tennessee Whiskey (40% vol je 0.7 l),Getränke,Spirituosen,15.99,2025-06-18,2025-06-21,Penny
LISTERINE Mundspülung (versch. Sorten je 2x600 ml),Drogerie,Mundpflege,6.79,2025-06-18,2025-06-21,Penny
KNEIPP Aroma-Pflegedusche (versch. Sorten je 400 ml),Drogerie,Körperpflege,4.99,2025-06-18,2025-06-21,Penny
BÜBCHEN Shampoo & Duschgel (versch. Sorten je 230 ml),Drogerie,Körperpflege,1.49,2025-06-18,2025-06-21,Penny
FELIX Soup Original (versch. Sorten je 6x48 g),Tierbedarf,Katzenfutter,1.99,2025-06-18,2025-06-21,Penny
PURINA Gourmet Gold (versch. Sorten je 24x85 g),Tierbedarf,Katzenfutter,9.99,2025-06-18,2025-06-21,Penny
PURINA ONE (versch. Sorten je 1.4 kg),Tierbedarf,Katzenfutter,6.49,2025-06-18,2025-06-21,Penny
HAVANA CLUB Añejo 3 Años (37.5% vol je 0.7 l),Getränke,Spirituosen,9.99,2025-06-20,2025-06-21,Penny
MÜLLER Reine Buttermilch (zzgl. 0.25 Pfand je 500 g),Lebensmittel,Milchprodukte,0.59,2025-06-20,2025-06-21,Penny
POPP Feinster Fleischsalat (versch. Sorten je 200 g),Lebensmittel,Feinkost,1.29,2025-06-20,2025-06-21,Penny
TEMPO Taschentücher (4-lagig je 30x10 Stück),Drogerie,Haushalt,2.89,2025-06-20,2025-06-21,Penny
MÜHLENHOF Schwarzwälder Schinken (je 150 g),Lebensmittel,Wurst/Aufschnitt,1.49,2025-06-20,2025-06-21,Penny
MÜLLER Joghurt mit der Ecke (versch. Sorten je 150 g),Lebensmittel,Milchprodukte/Desserts,0.35,2025-06-20,2025-06-21,Penny
Champignons (400-g-Schale),Lebensmittel,Gemüse,1.50,2025-06-16,2025-06-22,Rewe
Mango (je St.),Lebensmittel,Obst,1.00,2025-06-16,2025-06-22,Rewe
Patros Grill & Ofen Kräuter (150-g-Pckg.) oder Natur (180-g-Pckg.),Lebensmittel,Milchprodukte/Käse,1.79,2025-06-16,2025-06-22,Rewe
REWE Bio Bananen (je 1 kg),Lebensmittel,Obst,1.79,2025-06-16,2025-06-22,Rewe
Rügenwalder Teewurst oder Leberwurst (versch. Sorten je 125-g-Becher),Lebensmittel,Wurstwaren,1.29,2025-06-16,2025-06-22,Rewe
Ehrmann Grand Dessert (versch. Sorten je 190-g-Becher),Lebensmittel,Milchprodukte/Desserts,0.49,2025-06-16,2025-06-22,Rewe
Lorenz Crunchips Paprika (150-g-Btl.) oder Clubs Cracker (200-g-Pckg.),Lebensmittel,Snacks/Knabberartikel,0.99,2025-06-16,2025-06-22,Rewe
Extaler Mineralwasser (versch. Sorten je 12x0.7/12x0.75-l-Fl.-Kasten),Getränke,Alkoholfreie Getränke,3.99,2025-06-16,2025-06-22,Rewe
Gutfried Geflügel-Aufschnitt (versch. Sorten je 80-g-Pckg.),Lebensmittel,Wurstwaren,1.11,2025-06-16,2025-06-22,Rewe
Weihenstephan Rahmjoghurt (versch. Sorten je 150-g-Becher),Lebensmittel,Milchprodukte/Joghurt,0.49,2025-06-16,2025-06-22,Rewe
Hellmann's Real Mayo oder Chunky Burger Sauce (je 250-ml-Fl.),Lebensmittel,Saucen/Dressings,1.49,2025-06-16,2025-06-22,Rewe
Schwartau Samt Fruchtaufstrich Aprikose (270-g-Glas) oder Konfitüre Extra Erdbeere (340-g-Glas),Lebensmittel,Brotaufstriche,1.99,2025-06-16,2025-06-22,Rewe
Oryza Reisspezialität (versch. Sorten je 500-g-Btl.),Lebensmittel,Grundnahrungsmittel,1.79,2025-06-16,2025-06-22,Rewe
Pringles Chips (versch. Sorten je 200-g-Dose),Lebensmittel,Snacks/Knabberartikel,1.89,2025-06-16,2025-06-22,Rewe
Knorr Salat Krönung (versch. Sorten je 5er-Pckg.),Lebensmittel,Saucen/Dressings,0.79,2025-06-16,2025-06-22,Rewe
Nestlé Smarties mini (187-g-Btl.) oder Kit Kat Mini Mix (197.4-g-Btl.),Lebensmittel,Süßwaren,2.79,2025-06-16,2025-06-22,Rewe
Granini Die Limo (versch. Sorten je 1-l-Fl.) oder Fresh (versch. Sorten je 0.75-l-Fl.),Getränke,Alkoholfreie Getränke,1.29,2025-06-16,2025-06-22,Rewe
Söhnlein Brillant Sekt oder Frucht-Sparkling (versch. Sorten je 0.75-l-Fl.),Getränke,Alkoholische Getränke,2.69,2025-06-16,2025-06-22,Rewe
blend-a-med Zahncreme Classic oder Extra Frisch Clean (je 75-ml-Tube),Drogerie,Mundpflege,0.99,2025-06-16,2025-06-22,Rewe
Funny-frisch Popchips Red Paprika (80-g-Btl.) oder Linsen Chips Paprika (90-g-Btl.),Lebensmittel,Snacks/Knabberartikel,1.49,2025-06-16,2025-06-22,Rewe
Coca-Cola (versch. Sorten je 6x0.33-l-Fl.-Pckg.),Getränke,Alkoholfreie Getränke,3.49,2025-06-16,2025-06-22,Rewe
Avocado (Hass je St.),Lebensmittel,Obst,0.88,2025-06-16,2025-06-22,Rewe
Gelb- oder weißfleischige Pfirsiche (Kl. I je 1-kg-Schale),Lebensmittel,Obst,2.29,2025-06-16,2025-06-22,Rewe
Himbeeren (Kl. I je 125-g-Schale),Lebensmittel,Obst,1.99,2025-06-16,2025-06-22,Rewe
Mangostan (je St.),Lebensmittel,Obst,1.49,2025-06-16,2025-06-22,Rewe
REWE Bio Nektarinen (KL. II je 350-g-Schale),Lebensmittel,Obst,1.99,2025-06-16,2025-06-22,Rewe
Mix Tafeltrauben kernlos (Kl. I je 500-g-Schale),Lebensmittel,Obst,1.99,2025-06-16,2025-06-22,Rewe
REWE to go Shot (versch. Sorten je 60-ml-Fl.),Getränke,Säfte,1.19,2025-06-16,2025-06-22,Rewe
True Fruits Smoothie (versch. Sorten je 250-ml-Fl.),Getränke,Säfte,2.29,2025-06-16,2025-06-22,Rewe
Erdbeeren (Kl. I je 1 kg),Lebensmittel,Obst,N/A,2025-06-16,2025-06-22,Rewe
Wassermelone kernarm (Kl. I je 1 kg),Lebensmittel,Obst,1.11,2025-06-16,2025-06-22,Rewe
REWE to go Salat Ziegenkäse oder Tuna (je 300-g-Schale),Lebensmittel,Fertiggerichte,2.29,2025-06-16,2025-06-22,Rewe
Pahmeyer Kartoffelauflauf (versch. Sorten je 300-g-Pckg.),Lebensmittel,Fertiggerichte,2.29,2025-06-16,2025-06-22,Rewe
Speisemöhren (Kl. I je 1-kg-Btl.),Lebensmittel,Gemüse,0.99,2025-06-16,2025-06-22,Rewe
Aubergine (Kl. I je St.),Lebensmittel,Gemüse,0.59,2025-06-16,2025-06-22,Rewe
Süße Speisezwiebeln (Kl. I je 1 kg),Lebensmittel,Gemüse,2.79,2025-06-16,2025-06-22,Rewe
Pakchoi (Kl. I je 300-g-Pckg.),Lebensmittel,Gemüse,1.19,2025-06-16,2025-06-22,Rewe
Rispentomaten Joyn (Kl. I je 400-g-Schale),Lebensmittel,Gemüse,1.99,2025-06-16,2025-06-22,Rewe
Gekochte Bio Rote Bete (je 500-g-Pckg.),Lebensmittel,Gemüse,1.29,2025-06-16,2025-06-22,Rewe
Mini Cherry Rispentomaten Süße Versuchung (Kl. Extra je 200-g-Schale),Lebensmittel,Gemüse,2.22,2025-06-16,2025-06-22,Rewe
Pflanzentrio Bloomatch (je Topf),Pflanzen,Zierpflanzen,7.99,2025-06-16,2025-06-22,Rewe
Sommerfreude in Zinktopf oder Cosmea (je Topf),Pflanzen,Zierpflanzen,3.79,2025-06-16,2025-06-22,Rewe
Husarenknopf oder REWE Beste Wahl Bartnelke (je Topf),Pflanzen,Zierpflanzen,1.99,2025-06-16,2025-06-22,Rewe
Lavendel Lavendula angustifolia (je Topf),Pflanzen,Zierpflanzen,1.99,2025-06-16,2025-06-22,Rewe
REWE Beste Wahl Bio Hochbeeterde (je 40-l-Btl.),Garten,Erde,6.99,2025-06-16,2025-06-22,Rewe
Blumenstrauß Sonnige Grüße (je Bund),Pflanzen,Schnittblumen,9.99,2025-06-16,2025-06-22,Rewe
Frisches Hähnchen-Brustfilet (SB-verpackt je 1 kg),Fleischwaren,Geflügel,9.90,2025-06-16,2025-06-22,Rewe
Entrecôte vom Jungbullen (je 100 g),Fleischwaren,Rind,2.89,2025-06-16,2025-06-22,Rewe
Kalbs-Leber (je 100 g),Fleischwaren,Kalb,1.99,2025-06-16,2025-06-22,Rewe
Schweine-Stielkotelett (je 100 g),Fleischwaren,Schwein,0.77,2025-06-16,2025-06-22,Rewe
Tafelspitz vom Jungbullen (je 100 g),Fleischwaren,Rind,1.59,2025-06-16,2025-06-22,Rewe
Butcher's Barbecue Duroc Steaks (versch. Marinaden je 320-g-Pckg.),Fleischwaren,Schwein,4.99,2025-06-16,2025-06-22,Rewe
RibWorld Bourbon BBQ Spare Ribs (je 600-g-Pckg.),Fleischwaren,Schwein,7.77,2025-06-16,2025-06-22,Rewe
Nature & Respect Frische Freiland Pollofino Hähnchenschenkel (SB-verpackt je 1 kg),Fleischwaren,Geflügel,12.20,2025-06-16,2025-06-22,Rewe
Butcher's Barbecue Hähnchen-Minuten-Schnitzel (in versch. Marinaden SB-verpackt je 1 kg),Fleischwaren,Geflügel,12.90,2025-06-16,2025-06-22,Rewe
ja! Schweine-Filet (SB-verpackt je 1 kg),Fleischwaren,Schwein,11.99,2025-06-16,2025-06-22,Rewe
Tarczynski Polnischer Kesselschinken (je 100 g),Fleischwaren,Wurstwaren,1.79,2025-06-16,2025-06-22,Rewe
Duroc Serrano-Schinken (18 Monate gereift je 100 g),Fleischwaren,Wurstwaren,2.49,2025-06-16,2025-06-22,Rewe
Niederreuther Holsteiner Putenbrust (je 100 g),Fleischwaren,Wurstwaren,1.69,2025-06-16,2025-06-22,Rewe
